Data;Godz.;Dobowa prognoza zapotrzebowania KSE;Rzeczywiste zapotrzebowanie KSE
20240116;2;18880;18693,488
20240116;3;18713;18338,525
20240116;4;18796;18351,375
20240116;5;19431;18952,488
20240116;6;20913;19999,175
20240116;7;24192;22625,963
20240116;8;25212;24783,213
20240116;9;26025;25977,250
20240116;10;26261;26565,463
20240116;11;26256;26502,750
20240116;12;26183;26632,188
20240116;13;26284;26500,113
20240116;14;26507;26443,550
20240116;15;26105;25970,175
20240116;16;26069;25862,338
20240116;17;26799;26396,500
20240116;18;26804;26581,275
20240116;19;26352;26164,863
20240116;20;26192;26000,975
20240116;21;25627;25372,525
20240116;22;24156;23798,288
20240116;23;22183;22246,263
20240116;24;20911;20842,375
20240117;1;19641;19864,288
20240117;2;19132;19369,100
20240117;3;18873;19174,313
20240117;4;18961;19019,850
20240117;5;19546;19347,213
20240117;6;20969;20335,188
20240117;7;24185;23090,513
20240117;8;25186;25121,088
20240117;9;25862;26149,363
20240117;10;25878;26694,713
20240117;11;25833;26389,000
20240117;12;25806;26490,313
20240117;13;25870;26566,813
20240117;14;26243;26294,275
20240117;15;25807;25715,625
20240117;16;25659;25493,675
20240117;17;26531;25904,725
20240117;18;26498;25981,138
20240117;19;26074;25600,675
20240117;20;26006;25319,200
20240117;21;25445;24681,113
20240117;22;24085;23310,950
20240117;23;22175;21725,800
20240117;24;20960;20388,225
20240118;1;19591;19381,800
20240118;2;19059;18766,475
20240118;3;18671;18464,275
20240118;4;18879;18358,588
20240118;5;19537;18615,213
20240118;6;21046;19551,875
20240118;7;24299;22305,050
20240118;8;25253;24184,450
20240118;9;26135;25182,913
20240118;10;26438;25606,788
20240118;11;26484;25547,588
20240118;12;26434;25899,600
20240118;13;26381;26127,450
20240118;14;26612;26108,750
20240118;15;26020;25573,350
20240118;16;25802;25383,175
20240118;17;26616;25743,625
20240118;18;26593;25899,875
20240118;19;26069;25472,613
20240118;20;25899;25332,400
20240118;21;25328;24632,800
20240118;22;24054;23194,750
20240118;23;22083;21637,325
20240118;24;20862;20210,888
20240119;1;19448;19228,013
20240119;2;18923;18637,725
20240119;3;18553;18422,588
20240119;4;18634;18426,450
20240119;5;19266;18828,850
20240119;6;20748;19698,575
20240119;7;23980;22442,225
20240119;8;24957;24291,175
20240119;9;25689;25494,775
20240119;10;25795;26181,650
20240119;11;25792;25990,888
20240119;12;25763;26342,300
20240119;13;25672;26206,525
20240119;14;26051;26216,538
20240119;15;25545;25511,938
20240119;16;25336;25264,650
20240119;17;26220;25564,538
20240119;18;26210;25925,038
20240119;19;25742;25437,788
20240119;20;25522;25296,325
20240119;21;24898;24399,138
20240119;22;23776;22856,550
20240119;23;21805;21303,175
20240119;24;20536;19941,613
